Ano,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1999,0,3,0,0,0,0,0,8,2,2,2,2,19
2000,8,1,0,0,44,0,0,3,0,9,0,0,65
2001,3460,1659,868,81,72,140,1046,3708,1498,1030,825,1535,15922
2002,4624,1687,1051,228,75,129,3759,10588,9606,3631,2361,848,38587
2003,2447,2585,950,1646,1962,2236,10412,18847,16172,5710,4790,1560,69317
2004,2250,2558,4294,1002,1265,4672,8446,12148,12811,6689,1497,948,58580
2005,1816,1810,2864,884,1316,682,4461,9188,8730,5058,2000,1081,39890
2006,1864,2230,1633,1151,2971,1584,4209,13943,15065,2491,1952,441,49534
2007,363,755,799,577,1224,2467,10619,12138,10306,3521,2089,1044,45902
2008,939,1546,1887,4965,3439,4514,10604,15327,9845,4372,2637,1914,61989
2009,1742,715,1189,2675,1464,2530,4993,15203,5243,7083,3459,287,46583
2010,431,612,541,904,627,1023,4027,9046,7382,4319,4298,1606,34816
2011,660,327,941,1037,966,1313,4556,12553,13760,2713,1828,1998,42652
2012,2676,1337,1948,648,1181,2464,6753,7345,6241,3113,953,732,35391
2013,1081,1227,914,1101,932,1371,3888,10541,9999,4330,1431,671,37486
2014,1440,1237,593,394,193,409,1073,5816,2748,3602,802,746,19053
2015,1120,809,1167,1302,913,1933,4510,4772,5745,2550,577,578,25976
2016,1049,527,865,314,358,1537,3304,10736,8602,1347,1114,2478,32231
2017,3313,731,594,355,311,1307,5973,8299,5040,3105,2677,1546,33251
2018,2703,1525,1563,1435,786,1445,2357,11725,6188,1353,513,618,32211
2019,743,972,890,602,216,841,2720,8949,7779,3523,1134,1046,29415
2020,825,1863,4041,4272,3746,3504,8733,20541,14509,7707,3411,959,74111
2021,695,713,938,690,1218,843,5873,10437,4954,4158,735,2613,33867
2022,7199,4413,755,390,963,1556,2996,7707,8272,4156,4006,1877,44290
2023,1547,1842,1011,925,1085,1105,1914,6888,4597,3260,1594,433,26201
2024,602,764,1374,382,565,1857,4330,8296,9250,2794,853,537,31604
2025,1979,2274,1843,1530,894,1120,3131,7619,5003,3234,1351,1003,30981
2026,1148,1026,1081,536,697,0,0,0,0,0,0,0,4488
